시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
가평군,3반상회앞,3-ban Market,239000307,44655,노변정류장,경기도 가평군,경기도 가평군 가평읍,37.8112500000,127.5214667000
가평군,가는골,Ganeungol,239000875,44848,노변정류장,경기도 가평군,경기도 가평군 북면,37.9674500000,127.4186500000
가평군,가는골,Ganeungol,239000874,44847,노변정류장,경기도 가평군,경기도 가평군 북면,37.9675333000,127.4186167000
가평군,가둘기,Gadulgi,239000061,44280,노변정류장,경기도 가평군,경기도 가평군 북면,37.9000667000,127.5115833000
가평군,가둘기(목동방면),Gadulgi,239000459,44354,노변정류장,경기도 가평군,경기도 가평군 북면,37.9000333000,127.5117000000
가평군,가림마을,Garim Maeul ,239000053,44286,노변정류장,경기도 가평군,경기도 가평군 북면,37.9766833000,127.4438667000
가평군,가림마을(목동방면),Garim Maeul ,239000454,44501,노변정류장,경기도 가평군,경기도 가평군 북면,37.9767000000,127.4437000000
가평군,가인만당앞,Gainmandang,239000605,44204,노변정류장,경기도 가평군,경기도 가평군 설악면,37.5978167000,127.4973500000
가평군,가인만당앞,Gainmandang,239000426,44177,노변정류장,경기도 가평군,경기도 가평군 설악면,37.5977500000,127.4973167000
가평군,가일1리,Gail 1-ri,239000514,44339,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6073833000,127.4921333000
가평군,가일1리,Gail 1-ri,239000422,44293,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6073667000,127.4923500000
가평군,가일리,Gail-ri ,239000655,44404,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6047667000,127.4930833000
가평군,가일리.동천마을,"Gail-ri, Dongcheon Maeul ",239000840,44544,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6048500000,127.4933000000
가평군,가일리삼거리,Gail-ri Samgeori ,239000423,44292,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6005333000,127.4931167000
가평군,가일리삼거리,Gail-ri Samgeori ,239000603,44189,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6006167000,127.4930667000
